,2010-09-26-2011-09-24
CostOfGoodsAndServicesSold,64431000000
EarningsPerShareBasic,28.05
EarningsPerShareDiluted,27.68
GrossProfit,43818000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,34205000000
IncomeTaxExpenseBenefit,8283000000
NetIncomeLoss,25922000000
NonoperatingIncomeExpense,415000000
OperatingExpenses,10028000000
OperatingIncomeLoss,33790000000
ResearchAndDevelopmentExpense,2429000000
SalesRevenueNet,108249000000
SellingGeneralAndAdministrativeExpense,7599000000
WeightedAverageNumberOfDilutedSharesOutstanding,936645000
WeightedAverageNumberOfSharesOutstandingBasic,924258000
